"NLA_ID","BufWidthM","Pop","PopDensityKm2","BufferAreaKm2","BufferAreaKm2Adj","PercentNA","BufType"
"NLA06608-1158",1000,46,6.88,6.682,6.682,0,"fixed"
"NLA06608-1158",2500,375,13.34,28.116,28.116,0,"fixed"
"NLA06608-1158",403,7,3.51,1.992,1.992,0,"radius"
"NLA06608-2705",300,0,0,0.64,0.64,0,"fixed"
"NLA06608-2705",1000,0,0,4.297,4.297,0,"fixed"
"NLA06608-2705",2500,0,0,22.3,22.3,0,"fixed"
"NLA06608-2705",144,0,0,0.241,0.241,0,"radius"
"NLA06608-ELS:1C3-003",300,0,0,0.857,0.857,0,"fixed"
"NLA06608-ELS:1C3-003",1000,0,0,4.992,4.992,0,"fixed"
"NLA06608-ELS:1C3-003",2500,0,0,24.021,24.021,0,"fixed"
"NLA06608-ELS:1C3-003",228,0,0,0.606,0.606,0,"radius"
"NLA06608-4849",300,0,0,2.119,2.119,0,"fixed"
"NLA06608-4849",1000,0,0,9.082,9.082,0,"fixed"
"NLA06608-4849",2500,2,0.06,34.14,34.14,0,"fixed"
"NLA06608-4849",721,0,0,5.944,5.944,0,"radius"
"NLA06608-EMAP:ME254L",300,0,0,1.093,1.093,0,"fixed"
"NLA06608-EMAP:ME254L",1000,0,0,5.748,5.748,0,"fixed"
"NLA06608-EMAP:ME254L",2500,0,0,25.922,25.922,0,"fixed"
"NLA06608-EMAP:ME254L",352,0,0,1.329,1.329,0,"radius"
"NLA06608-ELS:1E2-027",300,0,0,2.322,2.322,0,"fixed"
"NLA06608-ELS:1E2-027",1000,0,0,9.412,9.412,0,"fixed"
"NLA06608-ELS:1E2-027",2500,0,0,34.495,34.495,0,"fixed"
"NLA06608-ELS:1E2-027",633,0,0,5.34,5.34,0,"radius"
"NLA06608-0918",300,0,0,3.38,3.38,0,"fixed"
"NLA06608-0918",1000,1,0.08,12.786,12.786,0,"fixed"
"NLA06608-0918",2500,4,0.09,42.742,42.742,0,"fixed"
"NLA06608-0918",949,1,0.08,12.017,12.017,0,"radius"
"NLA06608-1686",300,0,0,1.175,1.175,0,"fixed"
"NLA06608-1686",1000,0,0,5.891,5.891,0,"fixed"
"NLA06608-1686",2500,0,0,26.088,26.088,0,"fixed"
"NLA06608-1686",259,0,0,0.992,0.992,0,"radius"
"NLA06608-0354",300,27,30.54,0.884,0.884,0,"fixed"
"NLA06608-0354",1000,146,28.93,5.046,5.046,0,"fixed"
"NLA06608-0354",2500,1739,71.99,24.156,24.156,0,"fixed"
"NLA06608-0354",264,23,30.59,0.752,0.752,0,"radius"
"NLA06608-1393",2500,452,13.31,33.956,33.956,0,"fixed"
"NLA06608-1393",477,102,27.18,3.753,3.753,0,"radius"
"NLA06608-3889",300,12,14.12,0.85,0.85,0,"fixed"
"NLA06608-3889",1000,61,12.22,4.993,4.993,0,"fixed"
"NLA06608-3889",2500,248,10.32,24.036,24.036,0,"fixed"
"NLA06608-3889",191,6,12.55,0.478,0.478,0,"radius"
"NLA06608-0369",300,34,12.65,2.687,2.687,0,"fixed"
"NLA06608-0369",1000,101,9.52,10.611,10.611,0,"fixed"
"NLA06608-0369",2500,286,7.6,37.619,37.619,0,"fixed"
"NLA06608-0369",988,100,9.55,10.466,10.466,0,"radius"
"NLA06608-0454",300,1862,580.79,3.206,3.206,0,"fixed"
"NLA06608-0454",1000,5136,429.97,11.945,11.945,0,"fixed"
"NLA06608-0454",2500,13797,343.53,40.163,40.163,0,"fixed"
"NLA06608-0454",803,3925,425.15,9.232,9.232,0,"radius"
"NLA06608-4399",300,118,65.92,1.79,1.79,0,"fixed"
"NLA06608-4399",1000,612,76.45,8.005,8.005,0,"fixed"
"NLA06608-4399",2500,2023,64.44,31.395,31.395,0,"fixed"
"NLA06608-4399",554,293,79.02,3.708,3.708,0,"radius"
"NLA06608-1393",300,85,37.26,2.281,2.281,0,"fixed"
"NLA06608-1393",1000,165,18.03,9.15,9.15,0,"fixed"
"NLA06608-3570",300,29,27.36,1.06,1.06,0,"fixed"
"NLA06608-3570",1000,224,41.02,5.461,5.461,0,"fixed"
"NLA06608-3570",2500,1010,40.33,25.043,25.043,0,"fixed"
"NLA06608-3570",219,18,24.39,0.738,0.738,0,"radius"
"NLA06608-2710",300,0,0,0.878,0.878,0,"fixed"
"NLA06608-2710",1000,0,0,5.054,5.054,0,"fixed"
"NLA06608-2710",2500,0,0,24.208,24.208,0,"fixed"
"NLA06608-2710",260,0,0,0.73,0.73,0,"radius"
"NLA06608-4770",300,0,0,1.305,1.305,0,"fixed"
"NLA06608-4770",1000,0,0,6.398,6.398,0,"fixed"
"NLA06608-4770",2500,0,0,27.401,27.401,0,"fixed"
"NLA06608-4770",421,0,0,1.979,1.979,0,"radius"
"NLA06608-1174",300,1,0.17,6.051,6.051,0,"fixed"
"NLA06608-1174",1000,1,0.05,21.095,21.095,0,"fixed"
"NLA06608-1174",2500,1,0.02,62.805,62.805,0,"fixed"
"NLA06608-1174",932,1,0.05,19.516,19.516,0,"radius"
"NLA06608-4114",300,0,0,1.123,1.123,0,"fixed"
"NLA06608-4114",1000,1,0.17,5.738,5.738,0,"fixed"
"NLA06608-4114",2500,5,0.19,25.792,25.792,0,"fixed"
"NLA06608-4114",361,0,0,1.402,1.402,0,"radius"
"NLA06608-3414",300,86,12.9,6.666,6.666,0,"fixed"
